455,"Kroft, Tyler",TE,Buffalo,Rutgers
456,"Kumerow, Jake",WR,Buffalo,Wisconsin-Whitewater
457,"Kupp, Cooper",WR,LA Rams,Eastern Washington
458,"LaCosse, Matt",TE,New England,Illinois
459,"Laird, Patrick",RB,Miami,California
460,"Lamb, CeeDee",WR,Dallas,Oklahoma
461,"Lambo, Josh",K,Jacksonville,Texas A&M
462,"Landry, Jarvis",WR,Cleveland,Louisiana State
463,"Lazard, Allen",WR,Green Bay,Iowa State
464,"Lee, Marqise",WR,New England,Southern California
465,"Lenoir, Lance",WR,Seattle,Western Illinois
466,"Lewis, Dion",RB,NY Giants,Pittsburgh
467,"Lewis, Marcedes",TE,Green Bay,UCLA
468,"Lindsay, Phillip",RB,Denver,Colorado
469,"Lipscomb, Kalija",WR,Kansas City,Vanderbilt
470,"Lock, Drew",QB,Denver,Missouri
471,"Lockett, Tyler",WR,Seattle,Kansas State
472,"Logan, T.J.",RB,Tampa Bay,North Carolina
473,"Long, Ty",K,LA Chargers,Alabama-Birmingham
474,"Love, Bryce",RB,Washington,Stanford
475,"Love, Jordan",QB,Green Bay,Utah State
476,"Lovett, John",TE,Green Bay,Princeton
477,"Luton, Jake",QB,Jacksonville,Oregon State
478,"Lutz, Wil",K,New Orleans,Georgia State
479,"Mabry, Tyler",TE,Seattle,Maryland
480,"Mack, Austin",WR,NY Giants,Ohio State
481,"Mack, Marlon",RB,Indianapolis,South Florida
482,"Maher, Brett",K,Washington,Nebraska
483,"Mahomes, Patrick",QB,Kansas City,Texas Tech
484,"Malone, Josh",WR,NY Jets,Tennessee
485,"Manhertz, Chris",TE,Carolina,Canisius
486,"Mannion, Sean",QB,Minnesota,Oregon State
487,"Mariota, Marcus",QB,Las Vegas,Oregon
488,"Markway, Kyle",TE,Cleveland,South Carolina
489,"Mattison, Alexander",RB,Minnesota,Boise State
490,"Mayfield, Baker",QB,Cleveland,Oklahoma
491,"McCaffrey, Christian",RB,Carolina,Stanford
492,"McCann, Tucker",K,Tennessee,Missouri
493,"McCarron, A.J.",QB,Houston,Alabama
494,"McCloud, Ray Ray",WR,Pittsburgh,Clemson
495,"McCown, Josh",QB,Philadelphia,Sam Houston State
496,"McCoy, Colt",QB,NY Giants,Texas
497,"McCoy, LeSean",RB,Tampa Bay,Pittsburgh
498,"McCrane, Matthew",K,Cleveland,Kansas State
499,"McDonald, Vance",TE,Pittsburgh,Rice
500,"McFarland, Anthony",RB,Pittsburgh,Maryland
501,"McGough, Alex",QB,Houston,Florida International
502,"McGuire, Elijah",RB,Dallas,Louisiana-Lafayette
503,"McKenzie, Isaiah",WR,Buffalo,Georgia
504,"McKeon, Sean",TE,Dallas,Michigan
505,"McKinnon, Jerick",RB,San Francisco,Georgia Southern
506,"McKissic, J.D.",WR,Washington,Arkansas State
507,"McLaughlin, Chase",K,Minnesota,Illinois
508,"McLaurin, Terry",WR,Washington,Ohio State
509,"McManus, Brandon",K,Denver,Temple
510,"McNichols, Jeremy",RB,Tennessee,Boise State
511,"McSorley, Trace",QB,Baltimore,Penn State
512,"Merritt, Kirk",WR,Miami,Arkansas State
513,"Metcalf, D.K.",WR,Seattle,Mississippi
514,"Meyers, Jakobi",WR,New England,North Carolina State
